18.08,100,92.24,98.62,99.76,99.51,99.76
90.38,0,79.43,100,124.42,124.42,124.42
66.21,100,64.9,100,177.98,177.98,177.98
96.62,100,80.82,100,127.3,127.3,127.3
71.21,100,71.28,97,140.36,141.16,141.37
63.91,100,88.03,100,120.16,119.55,119.96
42.08,100,96.91,91.31,102.4,100,101.88
100,47.91,95.5,100,65.62,65.62,65.62
60,100,83.96,33.2,142.86,100,100
39.46,100,78.07,85.3,106.07,105.99,106.07
87.53,100,77.09,93.64,116.23,116.23,116.23
34.04,100,69.17,97.11,97.07,96.96,97.07
100,76.81,84.66,100,109.09,109.09,109.09
53.77,100,91.94,95.47,118.5,118.33,118.06
89.22,100,80.97,99.41,85.04,85.04,85.04
78.15,82.81,99.62,99.56,115.81,115.75,115.75
31.15,100,97.53,56.31,134.54,134.54,134.44
40.63,100,75.38,91.56,86.5,86.32,86.5
34.46,100,90.2,91.98,99.07,98.87,98.97
55.55,100,81.09,100,85.78,85.78,85.78
70.52,100,93.24,99.94,71.33,71.33,71.33
24.55,100,91.27,100,95.51,95.51,95.51
66.29,100,84.2,100,89.61,89.61,89.61
100,0,73.89,100,117.13,117.13,117.13
90.43,100,81.28,100,98.61,98.44,98.61
